"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","3.9","11.9","177.3","63","516","0","0"
"2","6.9","22.0","158.0","89","605","20","0"
"3","9.9","32.7","148.4","107","668","20","0"
"4","12.9","43.8","140.1","127","738","20","0"
"5","15.9","54.8","136.4","138","774","20","0"
"6","18.9","66.2","135.4","141","785","20","0"
"7","22.4","79.9","130.8","156","838","20","0"
"8","25.4","91.4","130.6","157","840","19","0"
"9","28.4","103.1","128.7","164","865","20","0"
"10","31.4","114.8","128.7","164","865","20","0"
"11","34.4","126.4","129.1","163","859","20","0"
"12","37.4","138.0","129.2","162","858","19","0"
"13","40.4","149.6","130.3","158","844","20","0"
"14","43.5","161.2","130.3","158","844","20","0"
"15","46.5","172.8","129.4","162","855","20","0"
"16","49.4","184.4","130.0","159","848","20","0"
"17","52.5","195.9","129.6","161","853","20","0"
"18","56.0","209.6","131.1","155","834","20","0"
"19","59.0","221.0","131.1","155","834","19","0"
"20","62.0","232.5","131.1","155","834","19","0"
"21","65.0","244.1","130.0","159","848","19","0"
"22","68.0","255.8","129.8","160","850","19","0"
"23","71.0","267.4","128.9","163","862","20","0"
"24","74.0","279.3","129.1","163","859","19","0"
"25","77.0","291.1","127.2","170","885","20","0"
"26","80.0","302.7","127.9","167","875","20","0"
"27","83.0","314.2","129.6","161","853","20","0"
"28","86.5","327.9","130.7","157","839","20","0"
"29","89.5","339.2","133.5","147","806","20","0"
"30","92.5","350.7","130.8","156","838","20","0"
"31","95.5","362.2","130.7","157","839","20","0"
"32","98.5","373.5","130.7","157","839","20","0"
"33","101.5","385.0","131.6","154","828","19","0"
"34","104.5","396.5","131.3","155","832","20","0"
"35","107.5","407.9","130.6","157","840","19","0"
"36","111.0","421.6","131.0","156","835","19","0"
"37","114.0","433.1","130.2","159","845","20","0"
"38","117.0","444.7","130.0","159","848","20","0"
"39","120.0","456.3","130.0","159","848","20","0"
"40","123.0","467.9","129.6","161","853","20","0"
"41","126.0","479.5","129.5","161","854","20","0"
"42","129.1","491.3","129.4","162","855","19","0"
"43","132.6","505.2","128.5","165","867","19","0"
"44","135.6","516.9","126.9","171","889","19","0"
"45","138.6","529.0","125.4","177","910","20","0"
"46","141.6","540.8","125.4","177","910","20","0"
"47","144.6","552.5","126.5","173","895","19","0"
"48","148.1","566.5","127.7","168","878","19","0"
"49","151.1","578.1","127.7","168","878","19","0"
"50","154.1","589.9","127.6","168","879","19","0"
"51","157.6","604.1","126.8","172","890","19","0"
"52","160.6","615.8","126.8","172","890","19","0"
"53","163.6","627.6","127.0","171","888","19","0"
"54","167.1","641.6","127.2","170","885","19","0"
"55","170.1","653.4","126.8","172","890","20","0"
"56","173.1","665.4","126.8","172","890","20","0"
"57","176.1","677.2","126.2","174","899","19","0"
"58","179.1","689.0","126.7","172","892","19","0"
"59","182.6","703.0","127.4","169","882","19","0"
